                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8893,                 3.0549,                  1.755,                0.35682,                0.59046,                0.47388,                 0.2167,                 1.6184,                 2.0176,                 1.6341,             0.00055279,             0.00055279,             0.00055279
                      2,                   1.61,                 1.4469,                 1.5679,                0.70991,                0.52102,                0.62769,                0.31777,                 1.6717,                 1.9592,                 1.6376,             0.00099872,             0.00099872,             0.00099872
                      3,                  1.508,                 1.2693,                 1.5087,                0.77109,                0.59848,                 0.7129,                0.42211,                 1.4392,                   1.22,                 1.4806,              0.0013346,              0.0013346,              0.0013346
                      4,                 1.3786,                 1.1098,                 1.4217,                0.79082,                 0.5749,                0.76203,                0.45068,                 1.2661,                0.95156,                 1.3239,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.2757,                0.98807,                 1.3682,                0.73225,                0.73647,                0.75505,                 0.4645,                 1.2156,                0.87331,                 1.2962,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.1691,                 0.8714,                 1.2865,                 0.8152,                0.78365,                0.84957,                0.58078,                  1.133,                0.79388,                 1.2529,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.0897,                0.77889,                 1.2422,                0.90676,                0.83131,                0.91779,                0.61378,                 1.0447,                0.66396,                 1.2029,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.0131,                0.71201,                 1.2012,                0.85509,                0.87182,                 0.9429,                0.68566,                 1.0032,                0.65362,                 1.1991,             0.00051177,             0.00051177,             0.00051177
                      9,                0.94784,                0.65451,                 1.1575,                 0.9445,                0.89775,                0.96421,                0.69913,                0.93552,                0.58778,                 1.1118,             0.00034674,             0.00034674,             0.00034674
                     10,                 0.8791,                 0.5959,                  1.119,                0.89619,                0.92049,                0.96686,                0.70465,                0.88685,                0.54554,                 1.0931,              0.0001817,              0.0001817,              0.0001817
